Region,District,Sub-county,Ever married (10-17years),Never married (10-17years),Total,Ever had a Birth (12-17years),Never had a Birth (12-17years),Total
string,string,string,numeric,numeric,numeric,numeric,numeric,numeric
Western,Kanungu,Butogota Town Council,91,974,1065,84,711,795
Western,Kanungu,Inyanga,154,2259,2413,148,1659,1807
Western,Kanungu,Kambuga,21,630,651,24,476,500
Western,Kanungu,Kambuga Town Council,169,1399,1568,69,1129,1198
Western,Kanungu,Kanungu Town Council,80,1840,1920,45,1378,1423
Western,Kanungu,Kanyantorogo,40,711,751,31,519,550
Western,Kanungu,Katete,144,2784,2928,116,2030,2146
Western,Kanungu,Kayonza,101,1768,1869,97,1269,1366
Western,Kanungu,Kihihi,56,2063,2119,67,1531,1598
Western,Kanungu,Kihiihi Town Council,63,809,872,19,606,625
Western,Kanungu,Kinaaba,154,1723,1877,129,1244,1373
Western,Kanungu,Kirima,77,1166,1243,41,835,876
Western,Kanungu,Mpungu,15,897,912,19,633,652
Western,Kanungu,Nyakinoni,84,1823,1907,113,1222,1335
Western,Kanungu,Nyamirama,38,727,765,18,549,567
Western,Kanungu,Rugyeyo,112,2188,2300,102,1588,1690
Western,Kanungu,Rutenga,156,1278,1434,87,1001,1088
Western,Kanungu,Kanungu Total,1555,25039,26594,1209,18380,19589
Western,Kasese,Bulembia Division,86,1312,1398,104,922,1026
Western,Kasese,Central Division,201,3084,3285,290,2168,2458
Western,Kasese,Nyamwamba Division,414,5021,5435,423,3742,4165
Western,Kasese,Bwera,112,1851,1963,97,1362,1459
Western,Kasese,Ihandiro,99,1185,1284,111,842,953
Western,Kasese,Kisinga,209,3976,4185,201,2919,3120
Western,Kasese,Kitholhu,138,1695,1833,200,1148,1348
Western,Kasese,Kyarumba,310,4124,4434,247,2990,3237
Western,Kasese,Kyondo,158,2287,2445,141,1581,1722
Western,Kasese,Mahango,111,1985,2096,107,1406,1513
Western,Kasese,Mpondwe-Lhubiriha,371,5304,5675,389,3881,4270
Western,Kasese,Munkunyu,278,3265,3543,345,2275,2620
Western,Kasese,Nyakatonzi,11,538,549,8,402,410
Western,Kasese,Nyakiyumbu,237,2983,3220,189,2203,2392
Western,Kasese,Bugoye,223,3461,3684,276,2334,2610
Western,Kasese,Buhuhira,167,1705,1872,168,1174,1342
Western,Kasese,Bwesumbu,190,1901,2091,152,1333,1485
Western,Kasese,Hima Town Council,82,1135,1217,147,748,895
Western,Kasese,Karusandara,57,1035,1092,39,749,788
Western,Kasese,Katwe Kabatoro Town Council,30,475,505,31,343,374
Western,Kasese,Kilembe,74,1311,1385,106,879,985
Western,Kasese,Kitswamba,238,2716,2954,202,1965,2167
Western,Kasese,Kyabarungira,191,1520,1711,250,1036,1286
Western,Kasese,Lake Katwe,222,1567,1789,137,1171,1308
Western,Kasese,Maliba,335,4476,4811,319,3206,3525
Western,Kasese,Maliba,335,4476,4811,319,3206,3525
Western,Kasese,Maliba,335,4476,4811,319,3206,3525
Western,Kasese,Muhokya,139,1724,1863,136,1222,1358
Western,Kasese,Rukoki,86,1383,1469,55,980,1035
Western,Kasese,Kasese Total,5028,66477,71505,5069,47540,52609
Western,Kibaale,Birembo,153,2431,2584,108,1752,1860
Western,Kibaale,Bwanswa,124,1543,1667,104,1141,1245
Western,Kibaale,Kakindo,432,4876,5308,328,3439,3767
Western,Kibaale,Kakumiro  Town Council,48,963,1011,51,685,736
Western,Kibaale,Kasambya,200,2739,2939,164,1907,2071
Western,Kibaale,Kisiita,343,5261,5604,185,3837,4022
Western,Kibaale,Mpasaana,114,2097,2211,70,1505,1575
Western,Kibaale,Nalweyo,305,2704,3009,278,1851,2129
Western,Kibaale,Nkooko,274,3114,3388,162,2257,2419
Western,Kibaale,Burora,87,1231,1318,84,852,936
Western,Kibaale,Bwikara,264,3927,4191,179,2881,3060
Western,Kibaale,Kabamba,165,1446,1611,120,1061,1181
Western,Kibaale,Kagadi,89,1242,1331,60,922,982
Western,Kibaale,Kagadi  Town Council,143,2262,2405,144,1656,1800
Western,Kibaale,Kiryanga,172,2058,2230,138,1451,1589
Western,Kibaale,Kyakabadiima,58,962,1020,25,706,731
Western,Kibaale,Kyanaisoke,102,1491,1593,87,1106,1193
Western,Kibaale,Kyaterekera,168,2343,2511,150,1647,1797
Western,Kibaale,Kyenzige,113,1638,1751,91,1206,1297
Western,Kibaale,Mabaale,218,2388,2606,160,1778,1938
Western,Kibaale,Mpeefu,252,3654,3906,159,2647,2806
Western,Kibaale,Muhorro,112,1366,1478,60,1039,1099
Western,Kibaale,Muhorro  Town Council,164,2212,2376,146,1630,1776
Western,Kibaale,Ndaiga,103,585,688,72,456,528
Western,Kibaale,Paacwa,130,1565,1695,90,1155,1245
Western,Kibaale,Rugashari,87,1552,1639,54,1118,1172
Western,Kibaale,Ruteete,68,1098,1166,34,817,851
Western,Kibaale,Bubango,142,1525,1667,92,1093,1185
Western,Kibaale,Bwamiramira,166,1598,1764,116,1152,1268
Western,Kibaale,Kibaale Town Council,50,612,662,32,457,489
Western,Kibaale,Kyebando,137,1985,2122,97,1390,1487
Western,Kibaale,Matale,144,1652,1796,110,1193,1303
Western,Kibaale,Mugarama,98,1070,1168,54,786,840
Western,Kibaale,Nyamarunda,208,2168,2376,140,1591,1731
Western,Kibaale,Nyamarwa,154,1688,1842,102,1188,1290
Western,Kibaale,Kibaale Total,5587,71046,76633,4046,51352,55398
Western,Kiruhura,Buremba,147,2008,2155,149,1383,1532
Western,Kiruhura,Burunga,170,2093,2263,310,1359,1669
Western,Kiruhura,Engari,118,2426,2544,203,1649,1852
Western,Kiruhura,Kanoni,85,1740,1825,155,1208,1363
Western,Kiruhura,Kazo,165,2838,3003,284,1907,2191
Western,Kiruhura,Kazo Town Council,46,1149,1195,118,784,902
Western,Kiruhura,Nkungu,191,2413,2604,225,1676,1901
Western,Kiruhura,Rwemikoma,136,2203,2339,326,1420,1746
Western,Kiruhura,Kanyaryeru,18,731,749,67,480,547
Western,Kiruhura,Kashongi,89,2524,2613,103,1818,1921
Western,Kiruhura,Kenshunga,119,1902,2021,171,1324,1495
Western,Kiruhura,Kikaatsi,116,1536,1652,146,1092,1238
Western,Kiruhura,Kinoni,112,1860,1972,167,1273,1440
Western,Kiruhura,Kiruhura Town Council,14,479,493,23,345,368
Western,Kiruhura,Kitura,118,1525,1643,161,1047,1208
Western,Kiruhura,Nyakashashara,60,1272,1332,199,781,980
Western,Kiruhura,Sanga,18,699,717,54,471,525
Western,Kiruhura,Sanga Town Council,40,766,806,42,580,622
Western,Kiruhura,Kiruhura Total,1762,30164,31926,2903,20597,23500
Western,Kiryandongo,Bweyale Town Council,392,3190,3582,276,2334,2610
Western,Kiryandongo,Kigumba,466,4122,4588,263,3033,3296
Western,Kiryandongo,Kigumba Town Council,120,1990,2110,169,1442,1611
Western,Kiryandongo,Kiryandongo,1023,7295,8318,887,5137,6024
Western,Kiryandongo,Kiryandongo Refugee Camp,96,1520,1616,82,1101,1183
Western,Kiryandongo,Kiryandongo Town Council,35,584,619,43,442,485
Western,Kiryandongo,Masindi Port,48,868,916,48,631,679
Western,Kiryandongo,Mutunda,800,5481,6281,502,4064,4566
Western,Kiryandongo,Kiryandongo Total,2980,25050,28030,2270,18184,20454
Western,Kisoro,Central Division,18,403,421,33,287,320
Western,Kisoro,Northern Division,21,563,584,22,423,445
Western,Kisoro,Southern Division,13,599,612,45,412,457
Western,Kisoro,Bukimbiri,134,1554,1688,122,1114,1236
Western,Kisoro,Busanza,50,1947,1997,92,1391,1483
Western,Kisoro,Chahi,116,2110,2226,116,1594,1710
Western,Kisoro,Kanaba,59,1833,1892,33,1414,1447
Western,Kisoro,Kirundo,123,1992,2115,119,1456,1575
Western,Kisoro,Muramba,183,3992,4175,125,3006,3131
Western,Kisoro,Murora,122,1935,2057,80,1453,1533
Western,Kisoro,Nyabwishenya,85,1669,1754,84,1214,1298
Western,Kisoro,Nyakabande,101,2736,2837,112,2054,2166
Western,Kisoro,Nyakinama,79,2176,2255,113,1555,1668
Western,Kisoro,Nyarubuye,76,1970,2046,68,1458,1526
Western,Kisoro,Nyarusiza,139,3243,3382,125,2364,2489
Western,Kisoro,Nyundo,113,1350,1463,121,986,1107
Western,Kisoro,Kisoro Total,1432,30072,31504,1410,22181,23591
Western,Kyegegwa,Hapuuyo,469,4059,4528,365,2899,3264
Western,Kyegegwa,Kabweza Kyegegwa,183,2301,2484,174,1635,1809
Western,Kyegegwa,Kakabara,442,4115,4557,344,2944,3288
Western,Kyegegwa,Kasule,135,2140,2275,103,1540,1643
Western,Kyegegwa,Kyegegwa Town Council,121,1695,1816,109,1212,1321
Western,Kyegegwa,Mpara,277,3369,3646,230,2405,2635
Western,Kyegegwa,Ruyonza,219,2324,2543,214,1612,1826
Western,Kyegegwa,Rwentuha,240,3342,3582,175,2399,2574
Western,Kyegegwa,Kyaka  Ii  Refugee Camp,88,1674,1762,119,1156,1275
Western,Kyegegwa,Kyegegwa Total,2174,25019,27193,1833,17802,19635
Western,Kyenjojo,Bufunjo,314,4493,4807,215,3230,3445
Western,Kyenjojo,Bugaaki,183,2829,3012,258,1982,2240
Western,Kyenjojo,Butiiti,91,1823,1914,173,1217,1390
Western,Kyenjojo,Butunduzi,68,1174,1242,43,864,907
Western,Kyenjojo,Butunduzi Town Council,77,1305,1382,52,928,980
Western,Kyenjojo,Katooke,243,3350,3593,271,2369,2640
Western,Kyenjojo,Katooke Town Council,105,1329,1434,88,970,1058
Western,Kyenjojo,Kigaraale,184,2078,2262,170,1494,1664
Western,Kyenjojo,Kihuura,218,2644,2862,230,1817,2047
Western,Kyenjojo,Kisojo,147,2056,2203,153,1437,1590
Western,Kyenjojo,Kyarusozi,447,5006,5453,362,3512,3874
Western,Kyenjojo,Kyarusozi  Town Council,94,1028,1122,61,758,819
Western,Kyenjojo,Kyenjojo Town Council,149,2078,2227,178,1496,1674
Western,Kyenjojo,Nyabuharwa,159,2340,2499,182,1637,1819
Western,Kyenjojo,Nyankwanzi,198,2571,2769,140,1853,1993
Western,Kyenjojo,Nyantungo,173,2274,2447,127,1667,1794
Western,Kyenjojo,Kyenjojo Total,2850,38378,41228,2703,27231,29934
Western,Masindi,Kigulya Division,106,1175,1281,84,857,941
Western,Masindi,Karujubu Division,189,2125,2314,171,1526,1697
Western,Masindi,Nyangahya Division,68,1153,1221,54,853,907
Western,Masindi,Central Division,185,3834,4019,215,2936,3151
Western,Masindi,Budongo,598,4513,5111,518,3106,3624
Western,Masindi,Bwijanga,480,4626,5106,444,3294,3738
Western,Masindi,Kimengo,70,1085,1155,66,779,845
Western,Masindi,Miirya,232,1691,1923,202,1218,1420
Western,Masindi,Pakanyi,626,5126,5752,392,3776,4168
Western,Masindi,Masindi Total,2554,25328,27882,2146,18345,20491
Western,Mbarara,Kakoba Division,221,3850,4071,263,2928,50743
Western,Mbarara,Kamukuzi Division,110,2763,2873,180,2111,32512
Western,Mbarara,Nyamitanga Division,90,1787,1877,92,1388,22231
Western,Mbarara,Biharwe Division,162,2012,2174,105,1505,21735
Western,Mbarara,Kakiika Division,95,1791,1886,118,1304,20708
Western,Mbarara,Nyakayojo Division,125,3575,3700,152,2545,37385
Western,Mbarara,Bubaare,110,2287,2397,99,1695,22294
Western,Mbarara,Bukiro,56,1455,1511,40,1044,14509
Western,Mbarara,Kagongi,80,2234,2314,132,1606,20568
Western,Mbarara,Kashare,77,2356,2433,71,1689,22595
Western,Mbarara,Rubaya,51,1897,1948,51,1365,18228
Western,Mbarara,Rubindi,89,2450,2539,109,1750,23854
Western,Mbarara,Rwanyamahembe,109,2605,2714,120,1896,26583
Western,Mbarara,Bugamba,291,3382,3673,325,2338,34643
Western,Mbarara,Mwizi,266,3441,3707,173,2476,34571
Western,Mbarara,Ndeija,230,2976,3206,166,2150,31096
Western,Mbarara,Rugando,109,2609,2718,92,1944,26493
Western,Mbarara,Mbarara Total,2271,43470,45741,2288,31734,460748
Western,Mitooma,Bitereko,170,2883,3053,184,2057,2241
Western,Mitooma,Kabira,160,1131,1291,67,894,961
Western,Mitooma,Kanyabwanga,127,1723,1850,113,1225,1338
Western,Mitooma,Kashenshero,96,1176,1272,57,891,948
Western,Mitooma,Kashenshero Town Council,39,510,549,28,400,428
Western,Mitooma,Katenga,102,1984,2086,151,1403,1554
Western,Mitooma,Kiyanga,127,1793,1920,159,1178,1337
Western,Mitooma,Mayanga,59,1159,1218,150,729,879
Western,Mitooma,Mitooma,105,2011,2116,116,1412,1528
Western,Mitooma,Mitooma Town Council,12,631,643,21,453,474
Western,Mitooma,Mutara,69,2601,2670,69,1918,1987
Western,Mitooma,Rurehe,54,1282,1336,68,904,972
Western,Mitooma,Mitooma Total,1120,18884,20004,1183,13464,14647
Western,Ntoroko,Butungama,55,1013,1068,75,720,795
Western,Ntoroko,Bweramule,43,613,656,43,449,492
Western,Ntoroko,Kanara,46,632,678,51,464,515
Western,Ntoroko,Kanara Town Council,64,522,586,46,386,432
Western,Ntoroko,Karugutu,42,565,607,30,410,440
Western,Ntoroko,Karugutu Town Council,93,994,1087,95,739,834
Western,Ntoroko,Kibuuku Town Council,5,216,221,9,164,173
Western,Ntoroko,Nombe,82,761,843,56,555,611
Western,Ntoroko,Rwebisengo,23,503,526,14,419,433
Western,Ntoroko,Rwebisengo Town Council,19,322,341,14,268,282
Western,Ntoroko,Ntoroko Total,472,6141,6613,433,4574,5007
Western,Ntungamo,Central Division,20,622,642,62,427,489
Western,Ntungamo,Eastern Division,100,437,537,83,333,416
Western,Ntungamo,Western Division,16,377,393,21,275,296
Western,Ntungamo,Bwongyera,197,3983,4180,119,3003,3122
Western,Ntungamo,Ihunga,121,2797,2918,130,2027,2157
Western,Ntungamo,Kibatsi,113,2011,2124,115,1422,1537
Western,Ntungamo,Nyabihoko,57,2380,2437,57,1705,1762
Western,Ntungamo,Rwashamaire Town Council,13,768,781,17,569,586
Western,Ntungamo,Itojo,42,2330,2372,38,1718,1756
Western,Ntungamo,Kitwe Town Council,53,1788,1841,64,1262,1326
Western,Ntungamo,Ntungamo,140,3106,3246,115,2259,2374
Western,Ntungamo,Nyakyera,371,3762,4133,447,2502,2949
Western,Ntungamo,Ruhaama,199,4200,4399,150,3022,3172
Western,Ntungamo,Rukoni East,173,2296,2469,167,1617,1784
Western,Ntungamo,Rukoni West,104,1727,1831,74,1256,1330
Western,Ntungamo,Rweikiniro,196,3707,3903,161,2661,2822
Western,Ntungamo,Kayonza,120,2688,2808,101,1968,2069
Western,Ntungamo,Ngoma,104,2595,2699,102,1873,1975
Western,Ntungamo,Rubaare,237,2469,2706,183,1803,1986
Western,Ntungamo,Rubaare Town Council,82,1170,1252,76,818,894
Western,Ntungamo,Rugarama,158,3147,3305,101,2276,2377
Western,Ntungamo,Ntungamo Total,2616,48360,50976,2383,34796,37179
Western,Rubirizi,Katanda,82,1970,2052,125,1359,1484
Western,Rubirizi,Katerera,37,1098,1135,46,765,811
Western,Rubirizi,Katerera Town Council,28,903,931,44,636,680
Western,Rubirizi,Katunguru,25,213,238,16,140,156
Western,Rubirizi,Kichwamba,95,1810,1905,79,1339,1418
Western,Rubirizi,Kirugu,44,1144,1188,33,834,867
Western,Rubirizi,Kyabakara,54,1270,1324,59,886,945
Western,Rubirizi,Magambo,37,1224,1261,30,880,910
Western,Rubirizi,Rubirizirz Town Council,18,845,863,37,607,644
Western,Rubirizi,Rutoto,55,1543,1598,48,1106,1154
Western,Rubirizi,Ryeru,52,1502,1554,46,1078,1124
Western,Rubirizi,Rubirizi Total,527,13522,14049,563,9630,10193
Western,Rukungiri,Buyanja,260,3655,3915,205,2680,2885
Western,Rukungiri,Kebisoni,87,2832,2919,105,2088,2193
Western,Rukungiri,Nyakishenyi,170,3616,3786,176,2554,2730
Western,Rukungiri,Nyarushanje,241,4454,4695,248,3147,3395
Western,Rukungiri,Bugangari,109,3136,3245,128,2214,2342
Western,Rukungiri,Buhunga,91,2482,2573,148,1789,1937
Western,Rukungiri,Bwambara,158,2631,2789,102,1893,1995
Western,Rukungiri,Nyakagyeme,127,3338,3465,217,2351,2568
Western,Rukungiri,Ruhinda,128,2774,2902,175,2009,2184
Western,Rukungiri,Eastern Divison,30,1202,1232,52,899,951
Western,Rukungiri,Southern Division,38,831,869,39,615,654
Western,Rukungiri,Western Division,62,1343,1405,158,927,1085
Western,Rukungiri,Rukungiri Total,1501,32294,33795,1753,23166,24919
Western,Sheema,Kashozi,42,1420,1462,42,1023,1065
Western,Sheema,Bugongi Town Council,27,1205,1232,50,865,915
Western,Sheema,Kabwohe Itendero T. C.,58,1717,1775,84,1244,1328
Western,Sheema,Kagango,72,2037,2109,89,1499,1588
Western,Sheema,Kasaana,47,1801,1848,68,1309,1377
Western,Sheema,Kigarama,72,2186,2258,97,1556,1653
Western,Sheema,Rugarama,66,1068,1134,86,701,787
Western,Sheema,Kitagata,97,1891,1988,137,1320,1457
Western,Sheema,Kyangyenyi,150,3201,3351,189,2303,2492
Western,Sheema,Masheruka,73,1609,1682,52,1190,1242
Western,Sheema,Shuuku,41,1232,1273,57,865,922
Western,Sheema,Sheema Town Council,47,1660,1707,77,1193,1270
Western,Sheema,Sheema Total,792,21027,21819,1028,15068,16096
Northern,Abim,Abim,49,1487,1536,38,1121,1159
Northern,Abim,Abim Town Council,104,1963,2067,54,1476,1530
Northern,Abim,Alerek,37,1958,1995,49,1362,1411
Northern,Abim,Lotukei,98,2692,2790,126,1900,2026
Northern,Abim,Morulem,148,2386,2534,109,1735,1844
Northern,Abim,Nyakwae,82,1501,1583,62,1051,1113
Northern,Abim,Abim Total,518,11987,12505,438,8645,9083
Northern,Adjumani,Adjumani Town Council,133,4114,4247,195,3100,3295
Northern,Adjumani,Adropi,62,1229,1291,93,843,936
Northern,Adjumani,Arinyapi,66,1234,1300,98,855,953
Northern,Adjumani,Ciforo,63,1441,1504,37,1079,1116
Northern,Adjumani,Dzaipi,197,4231,4428,236,2943,3179
Northern,Adjumani,Itirikwa,97,1683,1780,63,1245,1308
Northern,Adjumani,Ofua,75,1575,1650,59,1167,1226
Northern,Adjumani,Ukusijoni,68,1161,1229,57,827,884
Northern,Adjumani,Pacara,64,1927,1991,88,1409,1497
Northern,Adjumani,Pakele,307,5001,5308,365,3463,3828
Northern,Adjumani,Adjumani Total,1132,23596,24728,1291,16931,18222
Northern,Agago,Adilang,112,2123,2235,77,1544,1621
Northern,Agago,Agago Town Council,25,591,616,28,414,442
Northern,Agago,Arum,147,1134,1281,102,838,940
Northern,Agago,Kalongo Town Council,67,1150,1217,53,844,897
Northern,Agago,Kotomol,87,1388,1475,54,1039,1093
Northern,Agago,Lamiyo,55,876,931,35,628,663
Northern,Agago,Lapono,119,2131,2250,87,1544,1631
Northern,Agago,Lira Palwo,119,1662,1781,125,1197,1322
Northern,Agago,Lokole,105,1607,1712,91,1159,1250
Northern,Agago,Omiya Pacwa,64,1140,1204,53,831,884
Northern,Agago,Omot,138,1258,1396,122,922,1044
Northern,Agago,Paimol,106,2110,2216,105,1536,1641
Northern,Agago,Parabongo,105,1128,1233,114,823,937
Northern,Agago,Patongo,116,1068,1184,38,850,888
Northern,Agago,Patongo Town Council,70,1154,1224,62,844,906
Northern,Agago,Wol,226,2226,2452,201,1641,1842
Northern,Agago,Agago Total,1661,22746,24407,1347,16654,18001
Northern,Alebtong,Abako,141,2565,2706,134,1873,2007
Northern,Alebtong,Abia,239,2276,2515,135,1734,1869
Northern,Alebtong,Akura,144,2559,2703,90,1898,1988
Northern,Alebtong,Alebtong Town Council,34,701,735,20,523,543
Northern,Alebtong,Aloi,188,3355,3543,137,2473,2610
Northern,Alebtong,Amugu,147,3011,3158,109,2186,2295
Northern,Alebtong,Apala,119,2156,2275,78,1582,1660
Northern,Alebtong,Awei,152,3284,3436,109,2428,2537
Northern,Alebtong,Omoro,466,4280,4746,285,3190,3475
Northern,Alebtong,Alebtong Total,1630,24187,25817,1097,17887,18984
Northern,Amolatar,Agikdak,77,1115,1192,121,758,879
Northern,Amolatar,Agwingiri,134,1519,1653,108,1109,1217
Northern,Amolatar,Akwon,69,811,880,93,546,639
Northern,Amolatar,Amolatar Town Council,106,1194,1300,69,880,949
Northern,Amolatar,Aputi,176,1585,1761,92,1206,1298
Northern,Amolatar,Arwotcek,87,1801,1888,108,1231,1339
Northern,Amolatar,Awelo,100,1205,1305,53,886,939
Northern,Amolatar,Etam,196,1491,1687,79,1173,1252
Northern,Amolatar,Muntu,63,1440,1503,73,1005,1078
Northern,Amolatar,Namasale,198,1786,1984,97,1317,1414
Northern,Amolatar,Namasale Town Council,79,809,888,72,561,633
Northern,Amolatar,Amolatar Total,1285,14756,16041,965,10672,11637
Northern,Amudat,Amudat,240,2654,2894,160,1854,2014
Northern,Amudat,Amudat Town Council,91,1215,1306,92,832,924
Northern,Amudat,Karita,339,2744,3083,226,1908,2134
Northern,Amudat,Loroo,143,3571,3714,210,2281,2491
Northern,Amudat,Amudat Total,813,10184,10997,688,6875,7563
Northern,Amuru,Amuru,421,4030,4451,417,2807,3224
Northern,Amuru,Amuru Town council,78,925,1003,78,638,716
Northern,Amuru,Attiak,325,3223,3548,320,2259,2579
Northern,Amuru,Lamogi,575,4804,5379,757,3112,3869
Northern,Amuru,Pabo,653,5391,6044,509,3817,4326
Northern,Amuru,Amuru Total,2052,18373,20425,2081,12633,14714
Northern,Apac,Abongomola,220,3867,4087,152,2870,3022
Northern,Apac,Aduku,86,3262,3348,177,2270,2447
Northern,Apac,Aduku Town Council,25,876,901,21,653,674
Northern,Apac,Chawente,246,3511,3757,178,2512,2690
Northern,Apac,Inomo,266,3146,3412,187,2349,2536
Northern,Apac,Nambieso,269,5102,5371,212,3650,3862
Northern,Apac,Akokoro,450,3781,4231,224,2867,3091
Northern,Apac,Apac,306,5960,6266,321,4270,4591
Northern,Apac,Apac Town Council,82,1544,1626,50,1188,1238
Northern,Apac,Chegere,343,3755,4098,301,2707,3008
Northern,Apac,Ibuje,196,4278,4474,180,3082,3262
Northern,Apac,Apac Total,2489,39082,41571,2003,28418,30421
Northern,Arua,Arua Hill Division,52,2198,2250,1662,120,1782
Northern,Arua,River Oli Division,281,5397,5678,4143,316,4459
Northern,Arua,Adumi,243,2992,3235,2212,206,2418
Northern,Arua,Aroi,225,2544,2769,1877,232,2109
Northern,Arua,Ayivuni,203,2274,2477,1744,107,1851
Northern,Arua,Dadamu,215,5043,5258,3674,273,3947
Northern,Arua,Manibe,124,3037,3161,2229,109,2338
Northern,Arua,Oluko,219,4418,4637,3293,234,3527
Northern,Arua,Pajulu,427,7050,7477,5161,470,5631
Northern,Arua,Anyiribu,88,789,877,630,36,666
Northern,Arua,Ewanga,44,774,818,556,25,581
Northern,Arua,Offaka,307,1665,1972,1200,284,1484
Northern,Arua,Ogoko,297,1495,1792,970,364,1334
Northern,Arua,Okollo,137,1708,1845,1300,88,1388
Northern,Arua,Pawor,91,866,957,638,59,697
Northern,Arua,Rhino Camp,163,2180,2343,1517,220,1737
Northern,Arua,Rigbo,157,2474,2631,1703,193,1896
Northern,Arua,Uleppi,71,853,924,634,51,685
Northern,Arua,Aii-Vu,218,3929,4147,2882,152,3034
Northern,Arua,Bileafe,99,2132,2231,1540,100,1640
Northern,Arua,Katrini,184,3308,3492,2418,148,2566
Northern,Arua,Omugo,316,4141,4457,2289,1004,3293
Northern,Arua,Odupi,298,3616,3914,2758,153,2911
Northern,Arua,Uriama,124,2287,2411,1738,99,1837
Northern,Arua,Ajia,364,2426,2790,1770,302,2072
Northern,Arua,Arivu,186,2311,2497,1440,396,1836
Northern,Arua,Logiri,354,3479,3833,2560,253,2813
Northern,Arua,Vurra,585,4417,5002,3100,641,3741
Northern,Arua,Arua Total,6072,79803,85875,57638,6635,64273
Northern,Dokolo,Adeknino,84,1808,1892,118,1248,1366
Northern,Dokolo,Adok,106,1951,2057,73,1450,1523
Northern,Dokolo,Agwata,102,2394,2496,55,1772,1827
Northern,Dokolo,Amwoma,73,1649,1722,56,1179,1235
Northern,Dokolo,Batta,124,2041,2165,89,1522,1611
Northern,Dokolo,Dokolo,91,1719,1810,91,1264,1355
Northern,Dokolo,Dokolo Town Council,135,2168,2303,118,1571,1689
Northern,Dokolo,Kangai,69,1914,1983,54,1359,1413
Northern,Dokolo,Kwera,65,1518,1583,63,1065,1128
Northern,Dokolo,Okwalongwen,89,1532,1621,223,972,1195
Northern,Dokolo,Okwongodul,57,1589,1646,84,1082,1166
Northern,Dokolo,Dokolo Total,995,20283,21278,1024,14484,15508
Northern,Gulu,Bar Dege Division,243,3865,565,2595,35456,38051
Northern,Gulu,Laroo Division,132,2616,218,1907,25909,27816
Northern,Gulu,Layibi Division,307,3627,409,2630,35664,38294
Northern,Gulu,Pece Division,202,5108,196,3950,44373,48323
Northern,Gulu,Awach,192,1967,104,1479,18874,20353
Northern,Gulu,Bungatira,291,3438,323,2450,32824,35274
Northern,Gulu,Paicho,218,2499,159,1827,24440,26267
Northern,Gulu,Palaro,110,1385,75,987,13109,14096
Northern,Gulu,Patiko,227,1861,176,1354,18352,19706
Northern,Gulu,Unyama,227,1673,130,1286,16993,18279
Northern,Gulu,Bobi,274,2858,152,2158,28912,31070
Northern,Gulu,Koro,323,2752,224,2057,27365,29422
Northern,Gulu,Lakwana,238,1945,120,1500,18761,20261
Northern,Gulu,Lalogi,334,2999,371,2073,29628,31701
Northern,Gulu,Odek,315,3072,249,2234,31322,33556
Northern,Gulu,Ongako,217,2316,228,1653,23112,24765
Northern,Gulu,Gulu Total,3850,43981,3699,32140,425094,457234
Northern,Kaabong,Kaabong East,43,1173,1216,70,833,903
Northern,Kaabong,Kaabong Town Council,56,1323,1379,47,1017,1064
Northern,Kaabong,Kaabong West,32,1317,1349,40,981,1021
Northern,Kaabong,Kalapata,64,3056,3120,73,2228,2301
Northern,Kaabong,Kamion,25,625,650,23,456,479
Northern,Kaabong,Kapedo,62,1418,1480,70,1028,1098
Northern,Kaabong,Kathile,112,2050,2162,108,1469,1577
Northern,Kaabong,Kawalakol,49,1404,1453,34,1026,1060
Northern,Kaabong,Lobalangit,16,716,732,17,526,543
Northern,Kaabong,Lodiko,37,767,804,35,575,610
Northern,Kaabong,Lolelia,33,752,785,57,526,583
Northern,Kaabong,Loyoro,28,386,414,31,275,306
Northern,Kaabong,Napore Karenga,59,1496,1555,72,1065,1137
Northern,Kaabong,Sidok,38,1286,1324,45,937,982
Northern,Kaabong,Kaabong Total,654,17769,18423,722,12942,13664
Northern,Kitgum,Central Division,211,2633,2844,190,1941,2131
Northern,Kitgum,Pager Division,236,3516,3752,400,2435,2835
Northern,Kitgum,Labongo Akwang,274,3645,3919,218,2721,2939
Northern,Kitgum,Labongo Amida,51,860,911,38,650,688
Northern,Kitgum,Labongo Layamo,12,287,299,22,194,216
Northern,Kitgum,Lagoro,59,1182,1241,37,894,931
Northern,Kitgum,Mucwini,167,2054,2221,129,1520,1649
Northern,Kitgum,Namokora,112,1395,1507,170,918,1088
Northern,Kitgum,Omiya Anyima,221,2112,2333,279,1459,1738
Northern,Kitgum,Orom,276,2733,3009,172,2012,2184
Northern,Kitgum,Kitgum Total,1619,20417,22036,1655,14744,16399
Northern,Koboko,Northern Divison,90,2517,2607,151,1856,2007
