Region,District,Sub-county,Attending School (6-12 years),Not attending (6-12 years),Never  been to School (15+ years),Primary (15+ years),Secondary and above (15+ years),Total,Literate (18 + years),Not Literate (18 + years),Ever married (10-17years),Never married (10-17years),Total,Ever had a Birth (12-17years),Never had a Birth (12-17years),Total
string,string,string,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
Western,Hoima,Kabwoya,10399,3182,8119,20385,5232,33736,17478,12551,748,4952,5700,522,3528,4050
Western,Hoima,Kiziranfumbi,6544,901,2411,11066,4067,17544,10854,4509,305,3141,3446,186,2251,2437
Western,Hoima,Kyangwali,15451,4641,14257,24643,7047,45947,22331,18429,872,7715,8587,906,5205,6111
Western,Hoima,Bujumbura Division,3906,297,1389,5182,5761,12332,9012,1781,116,2195,2311,120,1602,1722
Western,Hoima,Busiisi Division,3417,185,925,5437,4287,10649,7633,1707,148,1663,1811,179,1182,1361
Western,Hoima,Kahoora Divison,4925,161,970,5557,14031,20558,16967,1284,171,3204,3375,183,2482,2665
Western,Hoima,Mparo Divison,3937,195,1076,5272,6164,12512,9378,1643,183,2011,2194,173,1433,1606
Western,Hoima,Hoima Total,96946,17786,52433,161635,79734,293802,176368,82448,5271,48546,53817,4611,34506,39117
Western,Ibanda,Bisheshe,4829,347,2248,7535,3189,12972,7898,3325,226,2355,2581,168,1731,1899
Western,Ibanda,Ibanda Town Council,4854,298,1701,8109,9183,18993,14498,2278,315,2731,3046,367,1970,2337
Western,Ibanda,Igorora Town Council,1128,37,628,1545,1050,3223,2183,624,23,602,625,55,402,457
Western,Ibanda,Ishongororo,2916,353,1339,4458,1663,7460,4642,1805,156,1412,1568,112,1044,1156
Western,Ibanda,Ishongororo Town Council,4127,366,1739,6488,3244,11471,7432,2533,123,2111,2234,98,1543,1641
Western,Ibanda,Kashangura,3610,179,1331,5251,2682,9264,6288,1665,132,1769,1901,83,1318,1401
Western,Ibanda,Keihangara,2461,111,981,3692,1447,6120,3861,1359,46,1271,1317,30,949,979
Western,Ibanda,Kicuzi,3109,547,1826,4992,1266,8084,4692,2413,79,1571,1650,60,1146,1206
Western,Ibanda,Kijongo,2196,173,969,2887,1681,5537,3313,1360,48,1176,1224,47,863,910
Western,Ibanda,Kikyenkye,2989,179,1350,4600,2086,8036,5061,1868,82,1563,1645,77,1131,1208
Western,Ibanda,Nsasi,1721,54,616,2574,1141,4331,2897,829,41,842,883,27,628,655
Western,Ibanda,Nyabuhikye,3673,306,1372,5928,2909,10209,7026,1837,76,1913,1989,106,1364,1470
Western,Ibanda,Nyamarebe,4421,393,2393,6578,2270,11241,6547,3302,70,2092,2162,70,1514,1584
Western,Ibanda,Rukiri,4891,239,1553,7752,3926,13231,9284,2173,105,2475,2580,151,1753,1904
Western,Ibanda,Rushango Town Council,769,37,400,1114,470,1984,1276,489,17,372,389,17,275,292
Western,Ibanda,Ibanda Total,47694,3619,20446,73503,38207,132156,86898,27860,1539,24255,25794,1468,17631,19099
Western,Isingiro,Endiinzi,4240,765,3542,6528,2368,12438,6879,4136,195,2136,2331,198,1452,1650
Western,Isingiro,Kashumba,4203,602,2136,6575,2502,11213,6886,2854,120,2240,2360,121,1613,1734
Western,Isingiro,Mbaare,6559,717,3647,9634,3411,16692,10131,4490,168,3205,3373,126,2249,2375
