Region,District,Sub-county,Attending School (6-12 years),Not attending (6-12 years),Never  been to School (15+ years),Primary (15+ years),Secondary and above (15+ years),Total,Literate (18 + years),Not Literate (18 + years),Ever married (10-17years),Never married (10-17years),Total,Ever had a Birth (12-17years),Never had a Birth (12-17years),Total
string,string,string,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
Western,Kibaale,Paacwa,2980,456,1202,5203,1350,7755,4698,1980,130,1565,1695,90,1155,1245
Western,Kibaale,Rugashari,3065,524,1617,4638,1263,7518,4096,2337,87,1552,1639,54,1118,1172
Western,Kibaale,Ruteete,2199,339,1491,3220,1073,5784,3227,1830,68,1098,1166,34,817,851
Western,Kibaale,Bubango,3424,580,1443,5569,1116,8128,5033,2083,142,1525,1667,92,1093,1185
Western,Kibaale,Bwamiramira,3529,387,996,5546,2118,8660,5776,1733,166,1598,1764,116,1152,1268
Western,Kibaale,Kibaale Town Council,1178,50,135,1392,1950,3477,2768,282,50,612,662,32,457,489
Western,Kibaale,Kyebando,4144,792,1773,7431,1971,11175,6845,2978,137,1985,2122,97,1390,1487
Western,Kibaale,Matale,3481,381,707,5814,2014,8535,5351,1964,144,1652,1796,110,1193,1303
Western,Kibaale,Mugarama,2127,397,822,3963,1046,5831,3641,1409,98,1070,1168,54,786,840
Western,Kibaale,Nyamarunda,3957,1086,1991,8166,2063,12220,7516,3164,208,2168,2376,140,1591,1731
Western,Kibaale,Nyamarwa,3544,708,1438,6478,1554,9470,5762,2570,154,1688,1842,102,1188,1290
Western,Kibaale,Kibaale Total,142896,22677,64844,239816,76427,381087,230436,101539,5587,71046,76633,4046,51352,55398
Western,Kiruhura,Buremba,3814,755,2855,5734,2224,10813,5587,3806,147,2008,2155,149,1383,1532
Western,Kiruhura,Burunga,3851,663,3089,7135,2933,13157,7608,3943,170,2093,2263,310,1359,1669
Western,Kiruhura,Engari,4687,520,3043,7176,2901,13120,7617,3817,118,2426,2544,203,1649,1852
Western,Kiruhura,Kanoni,3374,169,1665,4907,2413,8985,5410,2275,85,1740,1825,155,1208,1363
Western,Kiruhura,Kazo,5146,1014,3666,8340,3017,15023,8319,4724,165,2838,3003,284,1907,2191
Western,Kiruhura,Kazo Town Council,2262,209,1347,3595,2255,7197,4449,1876,46,1149,1195,118,784,902
Western,Kiruhura,Nkungu,4723,723,2969,7102,2510,12581,6970,3890,191,2413,2604,225,1676,1901
Western,Kiruhura,Rwemikoma,3919,779,3005,6715,2913,12633,6930,4104,136,2203,2339,326,1420,1746
Western,Kiruhura,Kanyaryeru,1202,234,1325,1725,1055,4105,2162,1427,18,731,749,67,480,547
Western,Kiruhura,Kashongi,4617,616,3150,7077,3098,13325,7578,4012,89,2524,2613,103,1818,1921
Western,Kiruhura,Kenshunga,3601,496,3317,7219,4294,14830,9157,4102,119,1902,2021,171,1324,1495
Western,Kiruhura,Kikaatsi,3009,399,3002,5155,2484,10641,6055,3377,116,1536,1652,146,1092,1238
Western,Kiruhura,Kinoni,3348,477,3168,5489,2909,11566,6707,3518,112,1860,1972,167,1273,1440
Western,Kiruhura,Kiruhura Town Council,956,82,445,1585,903,2933,1831,782,14,479,493,23,345,368
Western,Kiruhura,Kitura,2834,385,1614,4618,1879,8111,4986,2007,118,1525,1643,161,1047,1208
Western,Kiruhura,Nyakashashara,2221,475,2647,4382,2473,9502,5574,2993,60,1272,1332,199,781,980
Western,Kiruhura,Sanga,1257,148,1119,1868,954,3941,2272,1193,18,699,717,54,471,525
Western,Kiruhura,Sanga Town Council,1171,356,1145,2404,1586,5135,3090,1464,40,766,806,42,580,622
Western,Kiruhura,Kiruhura Total,55992,8500,42571,92226,42801,177598,102302,53310,1762,30164,31926,2903,20597,23500
Western,Kiryandongo,Bweyale Town Council,6001,743,2915,6527,6004,15446,9008,4120,392,3190,3582,276,2334,2610
Western,Kiryandongo,Kigumba,8559,1585,3721,12818,4337,20876,10008,7807,466,4122,4588,263,3033,3296
Western,Kiryandongo,Kigumba Town Council,3372,300,900,4253,4479,9632,6240,2025,120,1990,2110,169,1442,1611
Western,Kiryandongo,Kiryandongo,15060,2739,6910,23679,8377,38966,17782,15845,1023,7295,8318,887,5137,6024
Western,Kiryandongo,Kiryandongo Refugee Camp,3226,364,1681,2459,1780,5920,2766,2099,96,1520,1616,82,1101,1183
Western,Kiryandongo,Kiryandongo Town Council,1003,63,216,1282,1687,3185,2211,543,35,584,619,43,442,485
Western,Kiryandongo,Masindi Port,1702,239,849,2561,1161,4571,2302,1677,48,868,916,48,631,679
Western,Kiryandongo,Mutunda,10570,2784,6289,19191,5811,31291,14140,13020,800,5481,6281,502,4064,4566
Western,Kiryandongo,Kiryandongo Total,49493,8817,23481,72770,33636,129887,64457,47136,2980,25050,28030,2270,18184,20454
Western,Kisoro,Central Division,680,110,472,933,1562,2967,2132,546,18,403,421,33,287,320
Western,Kisoro,Northern Division,925,83,672,1146,1251,3069,1955,716,21,563,584,22,423,445
Western,Kisoro,Southern Division,996,132,612,1182,1344,3138,2066,641,13,599,612,45,412,457
Western,Kisoro,Bukimbiri,3087,290,1333,4680,1826,7839,4773,1927,134,1554,1688,122,1114,1236
Western,Kisoro,Busanza,3417,444,2227,5206,1625,9058,5055,2695,50,1947,1997,92,1391,1483
Western,Kisoro,Chahi,3341,832,3846,3771,1906,9523,4050,3931,116,2110,2226,116,1594,1710
Western,Kisoro,Kanaba,2902,673,2805,3875,1323,8003,3796,2935,59,1833,1892,33,1414,1447
Western,Kisoro,Kirundo,3764,520,2387,5239,2314,9940,5470,3068,123,1992,2115,119,1456,1575
Western,Kisoro,Muramba,6826,1082,7388,7673,3030,18091,8037,7323,183,3992,4175,125,3006,3131
Western,Kisoro,Murora,3485,786,3675,4229,1456,9360,4130,3919,122,1935,2057,80,1453,1533
Western,Kisoro,Nyabwishenya,2958,698,1967,3501,1384,6852,3581,2202,85,1669,1754,84,1214,1298
Western,Kisoro,Nyakabande,4732,399,3731,5731,3574,13036,7200,3887,101,2736,2837,112,2054,2166
Western,Kisoro,Nyakinama,3856,519,3277,4736,1889,9902,4969,3582,79,2176,2255,113,1555,1668
Western,Kisoro,Nyarubuye,3321,605,2704,5502,1436,9642,5145,3204,76,1970,2046,68,1458,1526
Western,Kisoro,Nyarusiza,5820,959,5640,6577,2507,14724,6612,5911,139,3243,3382,125,2364,2489
Western,Kisoro,Nyundo,2539,383,1807,3569,1163,6539,3616,1966,113,1350,1463,121,986,1107
Western,Kisoro,Kisoro Total,52649,8515,44543,67550,29590,141683,72587,48453,1432,30072,31504,1410,22181,23591
Western,Kyegegwa,Hapuuyo,7972,1836,4530,13484,3814,21828,12677,6408,469,4059,4528,365,2899,3264
Western,Kyegegwa,Kabweza Kyegegwa,4571,684,2225,8055,2348,12628,7605,3462,183,2301,2484,174,1635,1809
Western,Kyegegwa,Kakabara,8245,1883,4457,15396,4060,23913,13862,7092,442,4115,4557,344,2944,3288
Western,Kyegegwa,Kasule,4321,774,2453,7270,1939,11662,7250,2865,135,2140,2275,103,1540,1643
Western,Kyegegwa,Kyegegwa Town Council,3203,312,1449,5133,3204,9786,6741,1793,121,1695,1816,109,1212,1321
Western,Kyegegwa,Mpara,1349,7182,878,3414,12008,16300,18823,11426,277,3369,3646,230,2405,2635
Western,Kyegegwa,Ruyonza,4734,892,3622,8430,2557,14609,8589,4292,219,2324,2543,214,1612,1826
Western,Kyegegwa,Rwentuha,6832,769,3699,11387,3060,18146,11155,4760,240,3342,3582,175,2399,2574
Western,Kyegegwa,Kyaka  Ii  Refugee Camp,2524,1290,3227,3573,1454,8254,3760,3450,88,1674,1762,119,1156,1275
Western,Kyegegwa,Kyegegwa Total,49584,9318,29076,84736,25837,139649,83065,39199,2174,25019,27193,1833,17802,19635
Western,Kyenjojo,Bufunjo,8430,2413,5774,14887,3113,23774,12890,7916,314,4493,4807,215,3230,3445
Western,Kyenjojo,Bugaaki,5303,542,2693,10151,4954,17798,11601,4009,183,2829,3012,258,1982,2240
Western,Kyenjojo,Butiiti,3506,364,1638,5090,3043,9771,5901,2514,91,1823,1914,173,1217,1390
Western,Kyenjojo,Butunduzi,2200,543,1554,3792,700,6046,3162,2135,68,1174,1242,43,864,907
Western,Kyenjojo,Butunduzi Town Council,2534,488,1668,4049,1226,6943,3886,2206,77,1305,1382,52,928,980
Western,Kyenjojo,Katooke,6267,1301,3934,10194,3054,17182,9733,5077,243,3350,3593,271,2369,2640
Western,Kyenjojo,Katooke Town Council,2470,524,1370,4309,1831,7510,4624,1889,105,1329,1434,88,970,1058
Western,Kyenjojo,Kigaraale,4327,746,2601,7287,1718,11606,6399,3676,184,2078,2262,170,1494,1664
Western,Kyenjojo,Kihuura,4922,1162,3003,9467,2176,14646,7965,4765,218,2644,2862,230,1817,2047
Western,Kyenjojo,Kisojo,3941,713,2258,6745,2018,11021,6375,3182,147,2056,2203,153,1437,1590
Western,Kyenjojo,Kyarusozi,9401,3026,7841,16045,4171,28057,15249,9335,447,5006,5453,362,3512,3874
Western,Kyenjojo,Kyarusozi  Town Council,2088,267,1122,4055,2367,7544,5072,1683,94,1028,1122,61,758,819
Western,Kyenjojo,Kyenjojo Town Council,3962,370,1544,6313,5058,12915,9127,2150,149,2078,2227,178,1496,1674
Western,Kyenjojo,Nyabuharwa,4845,552,2164,7540,2646,12350,7578,3095,159,2340,2499,182,1637,1819
Western,Kyenjojo,Nyankwanzi,1349,5043,809,2742,7933,11484,13129,3913,198,2571,2769,140,1853,1993
Western,Kyenjojo,Nyantungo,4497,576,1953,7464,2850,12267,7933,2618,173,2274,2447,127,1667,1794
Western,Kyenjojo,Kyenjojo Total,73736,14396,43859,125321,43379,212559,124905,60163,2850,38378,41228,2703,27231,29934
Western,Masindi,Kigulya Division,2393,201,722,3876,2030,6628,4155,1687,106,1175,1281,84,857,941
Western,Masindi,Karujubu Division,4163,585,1499,6839,3995,12333,7467,3287,189,2125,2314,171,1526,1697
Western,Masindi,Nyangahya Division,2500,104,594,3928,2528,7050,4782,1436,68,1153,1221,54,853,907
Western,Masindi,Central Division,6554,259,1490,6514,13994,21998,16815,2439,185,3834,4019,215,2936,3151
Western,Masindi,Budongo,9174,1710,4291,15412,7000,26703,14665,8772,598,4513,5111,518,3106,3624
Western,Masindi,Bwijanga,9607,873,2947,16295,8239,27481,17399,6608,480,4626,5106,444,3294,3738
Western,Masindi,Kimengo,2197,281,2231,3550,1710,7491,3838,2826,70,1085,1155,66,779,845
Western,Masindi,Miirya,3360,770,2345,5864,2502,10711,5602,3780,232,1691,1923,202,1218,1420
Western,Masindi,Pakanyi,10202,2349,6336,16590,6281,29207,14072,11330,626,5126,5752,392,3776,4168
Western,Masindi,Masindi Total,50150,7132,22455,78868,48279,149602,88795,42165,2554,25328,27882,2146,18345,20491
Western,Mbarara,Kamukuzi Division,4114,113,844,5699,15491,22034,18833,1063,221,3850,4071,263,2928,50743
Western,Mbarara,Kakoba Division,6251,409,1406,9871,22358,33635,28830,1929,110,2763,2873,180,2111,32512
Western,Mbarara,Nyamitanga Division,3043,195,796,4992,8141,13929,11401,1192,90,1787,1877,92,1388,22231
Western,Mbarara,Biharwe Division,3915,372,1970,6098,4012,12080,8170,2416,162,2012,2174,105,1505,21735
Western,Mbarara,Kakiika Division,3373,242,1219,5480,5335,12034,8984,1740,95,1791,1886,118,1304,20708
Western,Mbarara,Nyakayojo Division,6841,430,3050,10735,7311,21096,14656,3953,125,3575,3700,152,2545,37385
Western,Mbarara,Bubaare,4211,264,2106,6497,4144,12747,8369,2725,110,2287,2397,99,1695,22294
Western,Mbarara,Bukiro,3033,150,1249,4480,1881,7610,5021,1607,56,1455,1511,40,1044,14509
Western,Mbarara,Kagongi,3891,388,1664,6404,3094,11162,7351,2242,80,2234,2314,132,1606,20568
Western,Mbarara,Kashare,4486,376,1970,6897,3072,11939,8051,2294,77,2356,2433,71,1689,22595
Western,Mbarara,Rubaya,3592,238,1713,5701,2607,10021,6456,2294,51,1897,1948,51,1365,18228
Western,Mbarara,Rubindi,4571,296,1787,7115,3959,12861,9122,2081,89,2450,2539,109,1750,23854
Western,Mbarara,Rwanyamahembe,5076,247,2166,7827,5012,15005,10373,2719,109,2605,2714,120,1896,26583
Western,Mbarara,Bugamba,6994,591,3103,10766,4297,18166,11824,3902,291,3382,3673,325,2338,34643
Western,Mbarara,Mwizi,6851,1122,3149,10385,3267,16801,10317,4289,266,3441,3707,173,2476,34571
Western,Mbarara,Ndeija,6040,402,2561,9263,5320,17144,11684,3240,230,2976,3206,166,2150,31096
Western,Mbarara,Rugando,5020,260,2248,7866,4935,15049,10590,2554,109,2609,2718,92,1944,26493
Western,Mbarara,Mbarara Total,81302,6095,33001,126076,104236,263313,190032,42240,2271,43470,45741,2288,31734,460748
Western,Mitooma,Bitereko,5789,385,2563,7879,3781,14223,8813,3350,170,2883,3053,184,2057,2241
Western,Mitooma,Kabira,2218,143,912,3087,1796,5795,3782,1122,160,1131,1291,67,894,961
Western,Mitooma,Kanyabwanga,3738,248,1567,5595,1965,9127,5529,2409,127,1723,1850,113,1225,1338
Western,Mitooma,Kashenshero,2236,217,1227,3337,1833,6397,3978,1463,96,1176,1272,57,891,948
Western,Mitooma,Kashenshero Town Council,890,133,511,1513,1183,3207,2174,623,39,510,549,28,400,428
Western,Mitooma,Katenga,3485,157,1452,4961,3218,9631,6395,1841,102,1984,2086,151,1403,1554
Western,Mitooma,Kiyanga,3728,594,2558,5787,1543,9888,5167,3515,127,1793,1920,159,1178,1337
Western,Mitooma,Mayanga,2377,148,859,3332,1483,5674,3798,1056,59,1159,1218,150,729,879
Western,Mitooma,Mitooma,3848,111,1389,4965,3487,9841,6580,1757,105,2011,2116,116,1412,1528
Western,Mitooma,Mitooma Town Council,983,69,335,1412,1566,3313,2420,433,12,631,643,21,453,474
Western,Mitooma,Mutara,4733,276,1706,6779,3690,12175,8178,2176,69,2601,2670,69,1918,1987
Western,Mitooma,Rurehe,2565,112,1224,3421,1503,6148,3775,1419,54,1282,1336,68,904,972
Western,Mitooma,Mitooma Total,36590,2593,16303,52068,27048,95419,60589,21164,1120,18884,20004,1183,13464,14647
Western,Ntoroko,Butungama,1698,453,1394,2440,900,4734,2296,1721,55,1013,1068,75,720,795
Western,Ntoroko,Bweramule,1106,266,848,1686,647,3181,1647,1064,43,613,656,43,449,492
Western,Ntoroko,Kanara,1137,323,1295,2195,908,4398,2187,1710,46,632,678,51,464,515
Western,Ntoroko,Kanara Town Council,1122,179,1139,2271,1071,4481,2564,1497,64,522,586,46,386,432
Western,Ntoroko,Karugutu,1121,220,757,1741,547,3045,1500,1143,42,565,607,30,410,440
Western,Ntoroko,Karugutu Town Council,1739,283,1040,2787,1650,5477,3233,1493,93,994,1087,95,739,834
Western,Ntoroko,Kibuuku Town Council,292,115,389,561,244,1194,609,435,5,216,221,9,164,173
Western,Ntoroko,Nombe,1439,402,883,2293,608,3784,1758,1464,82,761,843,56,555,611
Western,Ntoroko,Rwebisengo,1349,746,169,723,1105,1997,2463,1235,23,503,526,14,419,433
Western,Ntoroko,Rwebisengo Town Council,452,58,394,738,718,1850,1167,427,19,322,341,14,268,282
Western,Ntoroko,Ntoroko Total,10852,2468,8862,17817,7928,34607,18196,11801,472,6141,6613,433,4574,5007
Western,Ntungamo,Central Division,1093,90,540,1582,1969,4091,2931,672,20,622,642,62,427,489
Western,Ntungamo,Eastern Division,816,69,423,1517,1522,3462,2501,554,100,437,537,83,333,416
Western,Ntungamo,Western Division,668,33,233,1193,1393,2819,2241,303,16,377,393,21,275,296
Western,Ntungamo,Bwongyera,7345,364,2998,9540,4931,17469,11118,3644,197,3983,4180,119,3003,3122
Western,Ntungamo,Ihunga,5266,258,2542,7421,3897,13860,9094,2787,121,2797,2918,130,2027,2157
Western,Ntungamo,Kibatsi,3937,229,1904,5478,2665,10047,6414,2213,113,2011,2124,115,1422,1537
Western,Ntungamo,Nyabihoko,4552,338,2369,5942,3008,11319,7178,2470,57,2380,2437,57,1705,1762
Western,Ntungamo,Rwashamaire Town Council,1272,37,601,1838,1533,3972,2802,659,13,768,781,17,569,586
Western,Ntungamo,Itojo,4428,177,1713,6701,3895,12309,8523,2145,42,2330,2372,38,1718,1756
Western,Ntungamo,Kitwe Town Council,3459,357,1992,5330,1874,9196,5892,2176,53,1788,1841,64,1262,1326
Western,Ntungamo,Ntungamo,5731,784,3263,8707,4374,16344,10068,4043,140,3106,3246,115,2259,2374
Western,Ntungamo,Nyakyera,7651,1086,4538,10561,3824,18923,10645,5657,371,3762,4133,447,2502,2949
Western,Ntungamo,Ruhaama,8380,1113,4643,12516,4024,21183,12911,5566,199,4200,4399,150,3022,3172
Western,Ntungamo,Rukoni East,4645,711,3331,6574,1865,11770,6773,3511,173,2296,2469,167,1617,1784
Western,Ntungamo,Rukoni West,3201,458,2005,4735,1694,8434,4863,2480,104,1727,1831,74,1256,1330
Western,Ntungamo,Rweikiniro,7367,772,4390,10065,3602,18057,10401,5254,196,3707,3903,161,2661,2822
Western,Ntungamo,Kayonza,5052,511,2730,8571,3688,14989,10068,3093,120,2688,2808,101,1968,2069
Western,Ntungamo,Ngoma,4751,881,4616,7027,2897,14540,7891,4850,104,2595,2699,102,1873,1975
Western,Ntungamo,Rubaare,4844,298,2656,6903,3796,13355,8674,2874,237,2469,2706,183,1803,1986
Western,Ntungamo,Rubaare Town Council,2144,214,1110,3538,2918,7566,5338,1384,82,1170,1252,76,818,894
Western,Ntungamo,Rugarama,6316,398,2845,8819,4595,16259,10678,3349,158,3147,3305,101,2276,2377
Western,Ntungamo,Ntungamo Total,92918,9178,51442,134558,63964,249964,157004,59684,2616,48360,50976,2383,34796,37179
Western,Rubirizi,Katanda,3659,785,2118,5278,1414,8810,4646,2917,82,1970,2052,125,1359,1484
Western,Rubirizi,Katerera,1940,433,1417,2869,899,5185,2756,1786,37,1098,1135,46,765,811
Western,Rubirizi,Katerera Town Council,1656,145,840,2532,1398,4770,3106,1053,28,903,931,44,636,680
Western,Rubirizi,Katunguru,490,52,383,1503,534,2420,1679,564,25,213,238,16,140,156
Western,Rubirizi,Kichwamba,3248,455,1646,4658,2308,8612,5283,2094,95,1810,1905,79,1339,1418
Western,Rubirizi,Kirugu,2056,398,1151,3298,1288,5737,3590,1415,44,1144,1188,33,834,867
Western,Rubirizi,Kyabakara,2296,533,1626,3509,1048,6183,3455,1943,54,1270,1324,59,886,945
Western,Rubirizi,Magambo,2519,208,1070,3416,1273,5759,3629,1355,37,1224,1261,30,880,910
Western,Rubirizi,Rubirizirz Town Council,1509,48,453,2042,1877,4372,3183,603,18,845,863,37,607,644
Western,Rubirizi,Rutoto,2814,317,1367,3728,1442,6537,3965,1657,55,1543,1598,48,1106,1154
Western,Rubirizi,Ryeru,2832,338,1412,3651,1465,6528,3787,1772,52,1502,1554,46,1078,1124
Western,Rubirizi,Rubirizi Total,25019,3712,13483,36484,14946,64913,39079,17159,527,13522,14049,563,9630,10193
Western,Rukungiri,Buyanja,6847,320,2668,9936,7549,20153,13734,3640,260,3655,3915,205,2680,2885
Western,Rukungiri,Kebisoni,5182,179,1582,7375,5047,14004,9902,2036,87,2832,2919,105,2088,2193
Western,Rukungiri,Nyakishenyi,6677,940,2332,10732,4138,17202,11155,3632,170,3616,3786,176,2554,2730
Western,Rukungiri,Nyarushanje,8800,456,3230,12866,7853,23949,15885,4863,241,4454,4695,248,3147,3395
Western,Rukungiri,Bugangari,5978,387,2066,9477,4088,15631,10376,3174,109,3136,3245,128,2214,2342
Western,Rukungiri,Buhunga,4482,374,1747,6303,3679,11729,8006,1972,91,2482,2573,148,1789,1937
Western,Rukungiri,Bwambara,5302,709,2837,8694,3139,14670,8423,4500,158,2631,2789,102,1893,1995
Western,Rukungiri,Nyakagyeme,6270,260,2297,9374,5791,17462,11651,3407,127,3338,3465,217,2351,2568
Western,Rukungiri,Ruhinda,5253,287,1994,7635,3718,13347,8656,2689,128,2774,2902,175,2009,2184
Western,Rukungiri,Eastern Divison,2048,104,696,3056,2940,6692,4890,865,30,1202,1232,52,899,951
Western,Rukungiri,Southern Division,1369,43,429,2151,2693,5273,3993,614,38,831,869,39,615,654
Western,Rukungiri,Western Division,2273,47,637,3418,4129,8184,6290,850,62,1343,1405,158,927,1085
Western,Rukungiri,Rukungiri Total,60481,4106,22515,91017,54764,168296,112961,32242,1501,32294,33795,1753,23166,24919
Western,Sheema,Kashozi,2684,103,1166,4049,2531,7746,5401,1357,42,1420,1462,42,1023,1065
Western,Sheema,Bugongi Town Council,2276,130,922,3183,2325,6430,4449,1145,27,1205,1232,50,865,915
Western,Sheema,Kabwohe Itendero T. C.,3047,142,956,4989,5638,11583,9119,1213,58,1717,1775,84,1244,1328
Western,Sheema,Kagango,3830,185,1559,5880,3595,11034,7618,1924,72,2037,2109,89,1499,1588
Western,Sheema,Kasaana,3565,120,1565,4703,2788,9056,6150,1676,47,1801,1848,68,1309,1377
Western,Sheema,Kigarama,1349,4180,1549,6482,3554,11585,7886,2160,72,2186,2258,97,1556,1653
Western,Sheema,Rugarama,2074,178,796,2960,1520,5276,3549,1008,66,1068,1134,86,701,787
Western,Sheema,Kitagata,3472,154,1649,5090,3292,10031,6738,1975,97,1891,1988,137,1320,1457
Western,Sheema,Kyangyenyi,5922,278,2333,8705,5829,16867,11837,2695,150,3201,3351,189,2303,2492
Western,Sheema,Masheruka,3004,234,1337,4667,3179,9183,6419,1600,73,1609,1682,52,1190,1242
Western,Sheema,Shuuku,2175,126,944,3346,2153,6443,4352,1221,41,1232,1273,57,865,922
Western,Sheema,Sheema Town Council,2933,128,1359,4699,3337,9395,6388,1796,47,1660,1707,77,1193,1270
Western,Sheema,Sheema Total,39162,1941,16135,58753,39741,114629,79906,19770,792,21027,21819,1028,15068,16096
Northern,Abim,Abim,2203,845,1739,2124,2057,5920,2913,2072,49,1487,1536,38,1121,1159
Northern,Abim,Abim Town Council,3253,682,1421,3083,4093,8597,5312,1961,104,1963,2067,54,1476,1530
Northern,Abim,Alerek,3110,1407,2603,3204,2240,8047,3758,3079,37,1958,1995,49,1362,1411
Northern,Abim,Lotukei,4231,1331,2487,4348,4259,11094,6131,3213,98,2692,2790,126,1900,2026
Northern,Abim,Morulem,3484,1931,2979,4635,3009,10623,5129,3890,148,2386,2534,109,1735,1844
Northern,Abim,Nyakwae,2162,1517,2951,2407,1424,6782,2717,3075,82,1501,1583,62,1051,1113
Northern,Abim,Abim Total,18443,7713,14180,19801,17082,51063,25960,17290,518,11987,12505,438,8645,9083
Northern,Adjumani,Adjumani Town Council,6727,508,1648,7365,10249,19262,12774,3388,133,4114,4247,195,3100,3295
Northern,Adjumani,Adropi,1957,548,677,3231,1745,5653,3161,1616,62,1229,1291,93,843,936
Northern,Adjumani,Arinyapi,2060,503,706,3497,1681,5884,3209,1780,66,1234,1300,98,855,953
Northern,Adjumani,Ciforo,2616,489,712,4835,1801,7348,3884,2427,63,1441,1504,37,1079,1116
Northern,Adjumani,Dzaipi,8226,1493,5963,8813,3954,18730,8196,7645,197,4231,4428,236,2943,3179
Northern,Adjumani,Itirikwa,2747,1136,1821,4467,1482,7770,3315,3224,97,1683,1780,63,1245,1308
Northern,Adjumani,Ofua,2526,596,1001,4148,1524,6673,3392,2172,75,1575,1650,59,1167,1226
Northern,Adjumani,Ukusijoni,1803,766,1409,3017,847,5273,1955,2483,68,1161,1229,57,827,884
Northern,Adjumani,Pacara,3292,457,1346,4492,2619,8457,4711,2309,64,1927,1991,88,1409,1497
Northern,Adjumani,Pakele,9997,1899,6805,9773,4915,21493,9290,8865,307,5001,5308,365,3463,3828
Northern,Adjumani,Adjumani Total,41951,8395,22088,53638,30817,106543,53887,35909,1132,23596,24728,1291,16931,18222
Northern,Agago,Adilang,3624,1235,2405,4716,2334,9455,4305,3697,112,2123,2235,77,1544,1621
Northern,Agago,Agago Town Council,1082,236,718,1284,809,2811,1414,997,25,591,616,28,414,442
Northern,Agago,Arum,2305,407,1189,3142,1181,5512,2627,1948,147,1134,1281,102,838,940
Northern,Agago,Kalongo Town Council,2090,268,772,2217,2652,5641,3659,1190,67,1150,1217,53,844,897
Northern,Agago,Kotomol,2302,656,1489,3498,1204,6191,3127,2114,87,1388,1475,54,1039,1093
Northern,Agago,Lamiyo,1823,205,717,2184,1158,4059,2084,1326,55,876,931,35,628,663
Northern,Agago,Lapono,3234,2047,3134,5192,1852,10178,4135,4484,119,2131,2250,87,1544,1631
Northern,Agago,Lira Palwo,3324,515,1672,3974,2050,7696,3469,2957,119,1662,1781,125,1197,1322
Northern,Agago,Lokole,2821,765,1817,3719,1690,7226,3334,2756,105,1607,1712,91,1159,1250
Northern,Agago,Omiya Pacwa,1925,746,1745,2805,835,5385,2098,2505,64,1140,1204,53,831,884
Northern,Agago,Omot,2550,512,1508,3422,1383,6313,2918,2438,138,1258,1396,122,922,1044
Northern,Agago,Paimol,3554,1335,3048,4820,2256,10124,4566,4075,106,2110,2216,105,1536,1641
Northern,Agago,Parabongo,2247,456,1366,2687,1247,5300,2529,1946,105,1128,1233,114,823,937
Northern,Agago,Patongo,2099,499,1318,2730,1160,5208,2350,2040,116,1068,1184,38,850,888
Northern,Agago,Patongo Town Council,2214,378,954,2343,2388,5685,3454,1409,70,1154,1224,62,844,906
Northern,Agago,Wol,4612,767,2276,6228,2540,11044,5592,3789,226,2226,2452,201,1641,1842
Northern,Agago,Agago Total,41806,11027,26128,54961,26739,107828,51661,39671,1661,22746,24407,1347,16654,18001
Northern,Alebtong,Abako,4418,1037,2328,7306,2618,12252,6528,3854,141,2565,2706,134,1873,2007
Northern,Alebtong,Abia,4443,894,2142,7174,2301,11617,6362,3558,239,2276,2515,135,1734,1869
Northern,Alebtong,Akura,4414,847,2121,6983,2636,11740,6464,3418,144,2559,2703,90,1898,1988
Northern,Alebtong,Alebtong Town Council,1313,131,500,1810,1090,3400,2139,788,34,701,735,20,523,543
Northern,Alebtong,Aloi,5772,1418,3353,8951,3222,15526,8325,4811,188,3355,3543,137,2473,2610
Northern,Alebtong,Amugu,5472,1029,2578,7929,3058,13565,7063,4406,147,3011,3158,109,2186,2295
Northern,Alebtong,Apala,3878,523,1599,6230,2255,10084,6009,2528,119,2156,2275,78,1582,1660
Northern,Alebtong,Awei,5653,1078,2811,8443,2992,14246,7664,4288,152,3284,3436,109,2428,2537
Northern,Alebtong,Omoro,7942,1939,4696,12389,4093,21178,11151,6825,466,4280,4746,285,3190,3475
Northern,Alebtong,Alebtong Total,43305,8896,22128,67215,24265,113608,61705,34476,1630,24187,25817,1097,17887,18984
Northern,Amolatar,Agikdak,2184,366,609,3320,1478,5407,3466,1133,77,1115,1192,121,758,879
Northern,Amolatar,Agwingiri,2846,569,1053,4823,1749,7625,4590,1915,134,1519,1653,108,1109,1217
Northern,Amolatar,Akwon,1493,343,461,2506,843,3810,2358,862,69,811,880,93,546,639
Northern,Amolatar,Amolatar Town Council,2032,431,515,3168,2013,5696,3598,1243,106,1194,1300,69,880,949
Northern,Amolatar,Aputi,2950,588,1036,4408,1969,7413,4671,1587,176,1585,1761,92,1206,1298
Northern,Amolatar,Arwotcek,3255,643,888,5579,1811,8278,5244,1790,87,1801,1888,108,1231,1339
Northern,Amolatar,Awelo,2168,539,704,3689,1369,5762,3640,1291,100,1205,1305,53,886,939
Northern,Amolatar,Etam,3182,454,655,4806,1682,7143,4504,1543,196,1491,1687,79,1173,1252
Northern,Amolatar,Muntu,2671,543,897,3880,1674,6451,3904,1562,63,1440,1503,73,1005,1078
Northern,Amolatar,Namasale,3757,539,1482,6516,2544,10542,6760,2461,198,1786,1984,97,1317,1414
Northern,Amolatar,Namasale Town Council,1669,272,626,3529,1488,5643,3604,1445,79,809,888,72,561,633
