YEAR,DISTRICT ,TOTAL CANDIDATES,Total DIV 1,% DIV 1,Total DIV 2,% DIV 2,Total DIV 3,% DIV 3,Total DIV 4,% DIV 4,Total DIV 7,% DIV 7,Total DIV 9,% DIV 9,Total DIV X,% X,FEMALE CANDIDATES,FEMALE TOTAL DIV1 ,FEMALE % DIV1 ,FEMALE TOTAL DIV2 ,FEMALE % DIV2,FEMALE TOTAL DIV3,FEMALE % DIV3,FEMALE TOTAL DIV4,FEMALE % DIV4,FEMALE TOTAL DIV7,FEMALE % DIV7,FEMALE TOTAL DIV9,FEMALE % DIV9,FEMALE TOTAL X,FEMALE % X ,MALE CANDIDATES,MALE TOTAL DIV1 ,MALE % DIV1 ,MALE TOTAL DIV2,MALE % DIV2,MALE TOTAL DIV3,MALE % DIV3,MALE TOTAL DIV4,MALE % DIV4 ,MALE TOTAL DIV7,MALE % DIV7,MALE TOTAL DIV9,MALE % DIV9,MALE TOTAL X,MALE % X
numeric,string,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
2016,MBALE,8161,281,3.4,768,9.4,1269,15.5,4005,49.1,41,0.5,1637,20.1,160,2,3900,90,2.3,288,7.4,560,14.4,1991,51.1,13,0.3,873,22.4,85,2.2,4261,191,4.5,480,11.3,709,16.6,2014,47.3,28,0.7,764,17.9,75,1.8
2016,MBARARA,6401,833,13,1039,16.2,1274,19.9,2666,41.6,9,0.1,456,7.1,124,1.9,3074,291,9.5,415,13.5,617,20.1,1435,46.7,3,0.1,260,8.5,53,1.7,3327,542,16.3,624,18.8,657,19.7,1231,37,6,0.2,196,5.9,71,2.1
2016,MITOOMA,2105,94,4.5,295,14,484,23,1055,50.1,2,0.1,149,7.1,26,1.2,1122,33,2.9,133,11.9,254,22.6,602,53.7,2,0.2,85,7.6,13,1.2,983,61,6.2,162,16.5,230,23.4,453,46.1,0,0,64,6.5,13,1.3
2016,MITYANA,4933,384,7.8,764,15.5,1088,22.1,2168,43.9,8,0.2,414,8.4,107,2.2,2691,149,5.5,382,14.2,570,21.2,1262,46.9,3,0.1,252,9.4,73,2.7,2242,235,10.5,382,17,518,23.1,906,40.4,5,0.2,162,7.2,34,1.5
2016,MOROTO,318,11,3.5,66,20.8,67,21.1,148,46.5,0,0,20,6.3,6,1.9,94,0,0,4,4.3,14,14.9,61,64.9,0,0,13,13.8,2,2.1,224,11,4.9,62,27.7,53,23.7,87,38.8,0,0,7,3.1,4,1.8
2016,MOYO,928,22,2.4,93,10,228,24.6,470,50.6,3,0.3,92,9.9,20,2.2,324,2,0.6,19,5.9,67,20.7,181,55.9,2,0.6,47,14.5,6,1.9,604,20,3.3,74,12.3,161,26.7,289,47.8,1,0.2,45,7.5,14,2.3
2016,MPIGI,4656,429,9.2,821,17.6,959,20.6,2041,43.8,10,0.2,298,6.4,98,2.1,2533,178,7,428,16.9,520,20.5,1187,46.9,7,0.3,152,6,61,2.4,2123,251,11.8,393,18.5,439,20.7,854,40.2,3,0.1,146,6.9,37,1.7
2016,MUBENDE,3775,131,3.5,382,10.1,638,16.9,1899,50.3,11,0.3,598,15.8,116,3.1,1779,29,1.6,111,6.2,250,14.1,994,55.9,5,0.3,328,18.4,62,3.5,1996,102,5.1,271,13.6,388,19.4,905,45.3,6,0.3,270,13.5,54,2.7
2016,MUKONO,12277,2222,18.1,2258,18.4,2502,20.4,4397,35.8,13,0.1,673,5.5,212,1.7,6400,896,14,1107,17.3,1326,20.7,2556,39.9,8,0.1,387,6,120,1.9,5877,1326,22.6,1151,19.6,1176,20,1841,31.3,5,0.1,286,4.9,92,1.6
2016,NAKAPIRIPIRIT,158,1,0.6,5,3.2,28,17.7,84,53.2,0,0,33,20.9,7,4.4,78,1,1.3,0,0,8,10.3,43,55.1,0,0,24,30.8,2,2.6,80,0,0,5,6.3,20,25,41,51.3,0,0,9,11.3,5,6.3
2016,NAKASEKE,1629,61,3.7,173,10.6,318,19.5,843,51.7,2,0.1,192,11.8,40,2.5,842,18,2.1,88,10.5,166,19.7,462,54.9,1,0.1,85,10.1,22,2.6,787,43,5.5,85,10.8,152,19.3,381,48.4,1,0.1,107,13.6,18,2.3
2016,NAKASONGOLA,1616,28,1.7,144,8.9,288,17.8,856,53,4,0.2,263,16.3,33,2,739,3,0.4,48,6.5,114,15.4,432,58.5,2,0.3,122,16.5,18,2.4,877,25,2.9,96,10.9,174,19.8,424,48.3,2,0.2,141,16.1,15,1.7
